title,points
Microgpt,644 points
490 points,We do not think Anthropic should be designated as a supply chain risk
239 points,The Windows 95 user interface: A case study in usability engineering (1996)
3 points,10-202: Introduction to Modern AI (CMU)
The happiest I've ever been,454 points
459 points,Obsidian Sync now has a headless client
Sub-second volumetric 3D printing by synthesis of holographic light fields,49 points
73 points,H-Bomb: A Frank Lloyd Wright Typographic Mystery
Block the “Upgrade to Tahoe” Alerts,206 points
17 points,Hardwood: A New Parser for Apache Parquet
279 points,Woxi: Wolfram Mathematica Reimplementation in Rust
Addressing Antigravity Bans and Reinstating Access,229 points
176 points,Verified Spec-Driven Development (VSDD)
350 points,MCP server that reduces Claude Code context consumption by 98%
230 points,Show HN: Now I Get It – Translate scientific papers into interactive webpages
Qwen3.5 122B and 35B models offer Sonnet 4.5 performance on local computers,330 points
283 points,Our Agreement with the Department of War
SpacetimeDB ThreeJS Support,16 points
New evidence that Cantor plagiarized Dedekind?,122 points
The Science of Detecting LLM-Generated Text,19 points
Building a Minimal Transformer for 10-digit Addition,51 points
98 points,"Samsung Galaxy update removes Android recovery menu tools, including sideloading"
75 points,Werner Herzog Between Fact and Fiction
Cracking the Python Monorepo,5 points
757 points,The whole thing was a scam
68 points,The archivist preserving decaying floppy disks
42 points,Deterministic Programming with LLMs
The Eternal Promise: A History of Attempts to Eliminate Programmers,269 points
Unsloth Dynamic 2.0 GGUFs,222 points
The United States and Israel have launched a major attack on Iran,1111 points
